Freshness,Review
fresh," The Happy Prince is an unapologetic character study, one that breaks through Wilde's façade to reveal a man in turmoil, aware of his flaws, but unable to help himself."
fresh," Four years after astounding audiences with his starkly grim mob tale ""Gomorrah,"" Matteo Garrone returns with a more garish, and superficial, vision of Italian culture."
fresh, A sharply witty and touching saga of Israeli lonely hearts. 
rotten, Two distinctly different approaches to filmmaking are employed here and neither of them manages to eke out a victory over the other.
rotten," Araki, who must be applauded at least for brazenly championing bisexuality, really should have saved the title of his 1994 effort for this one: Totally F***ed Up."
fresh," Gives us a vivid feel for the bedhopping, acid-dropping subculture, if a little less insight than you'd hope..."
fresh," Difret is a true story, that dives into the layer of polite social customs to expose a deeply set patriarchal system, which promotes hostile conditions for women in Ethiopia."
rotten," Unfortunately, documented fact doesn't lend itself particularly well to exhilarating cinema."
rotten," Mirren and Sutherland are a very strong duo, and they carry The Leisure Seeker through its endless strange shifts in tone..."
fresh," ...a compassionate film and an honest one, proving that all involved are still at the top of their games."
rotten," An uneven, mildly amusing, and highly derivative flick featuring a wonderful, quirky cast as a crew of art thieves who run a complex scam on the art world, and on each other."
rotten," Sincere, whimsical and pretty dreary."
fresh, It helps to have a cast stocked with ringers with the chops to play comedy as drama and drama as comedy.
fresh," A jaunty and forthright production with a lively look reflecting the book's illustrated pages [that] does a great job of being in two places at once: In the head and gangly bodies of kids, and in the hearts of those of us who have survived grades 6-8."
rotten, The film has the eerie atmosphere and outstanding makeup effects of a good fantasy thriller. But it's way too choppy to build any tension.
rotten," It's literally just quiet drama between a shy girl and her more outgoing friend accompanied by classical music. I'm sure there's an audience for Liz and the Blue Bird, but I'm just not a part of it."
rotten," Even under his own established guidelines, Gillespie pushes his fantasy past the point of possibility."
rotten," will no doubt divide viewers into those who agree that it is high time that the original received so slick a makeover, and those who wonder whether there is much real point to a retooling of such devilish fidelity to its source."
fresh," Whenever Sin Nombre turns violent, it seizes you with its convulsive skill, but the film's images   vastly outstrip its imagination."
rotten," The results come close to those cheesy re-enactments we see during ""true crime"" documentaries on Oxygen and other cable channels."
rotten, There are undoubtedly worse video game adaptations... [but] Assassin's Creed is plenty bad in its own right and hardly deserves pity points.
fresh, This inventive adaptation of Antoine de Saint-Exupéry's children's book is beautifully realized in CG and stop-motion animation techniques.
rotten," It panders to overstressed, underappreciated mothers-and there are plenty of them-by offering them a phony fable of empowerment, one that's no more than a raucous, sitcom-level farce."
rotten, This well-meaning mistake gets lost in the metaphors.
rotten," Liam Neeson's most arthritic action movie yet isn't one with a number wedged in its title. It's difficult to not think about the fun and finesse ""John Wick"" brought to a similar scenario, and how joylessly obligatory all of this feels by comparison."
rotten, Marshall directs as if Marty had never happened.
rotten," Your time is better spent tracking down a DVD of the original, which was a highlight of a rapidly deteriorating genre."
rotten," [T]he ambition of the movie makes it sort of intriguing, too, even if it fails -- spectacularly -- in the end..."
rotten," ...a disposable horror film, made in hopes that some reputable actors might breathe life into the material."
fresh," A complex film, full of moral thorns that questions the conventional idea of family, filmed with a serene camera that lets the agitation rather be produced by the internal exaltation of the characters, and by the montage. [Full review in Spanish]"
rotten," [A] dour animated adventure that aspires to holiday joy, but is as enjoyable as a sock full of coal."
rotten," Oh, what could have been. While Disney seems to understand that girl power can mean big box office (see Frozen), they still seem unable to fashion female characters that boast true complexity, agency and independence."
rotten," If ""Bridget Jones's Baby"" is the best an actress like Zellweger can expect from the film industry, maybe she'd be better off just saying ""Hashtag: Let's not."""
rotten," Rather than be a Vonnegut story, as the original is, the newest Rollerball is what writers like Vonnegut warn us about."
rotten, Gives the impression of an in-joke that never quite lands.
rotten, What might have seemed like a lively idea -- an all-star roundelay about love in Los Angeles -- is as fossilized as the wooly mammoths in the La Brea Tar Pits.
rotten," If Eye of the Beholder ever had something to say, that got lost in not knowing how to say it."
fresh, Audiences looking for grand escapist fare at cinemas this summer won't mind having spent their price of admission on it. Be sure to get some popcorn too.
fresh," The script, by husband-and-wife novelists Dave Eggers and Vendela Vida, has real heart, though, without being cloying."
fresh," Efron and Poots don't quite work together, but Mackenzie Davis is very good as the privileged, but secretly passionate, Chelsea."
fresh," [A] tongue-in-cheek, knife-in-guts action thriller..."
fresh, This fun buddy movie is something like a semi-slapstick Midnight Run starring Abbot and Costello.
rotten," ""The Last Station"" is the kind of dramatically bound historic material that could soar on Broadway with the cast, but not the script, of its film version."
rotten, A poor remake with little 3D value.
fresh," Directors Ben Cotner and Ryan White are dedicated to getting it all in, which occasionally impedes the flow of the story."
fresh," Director Chan doesn't skimp on the hand-to-hand, foot-to-face, and occasional sword-to-shoulder action."
rotten," We're left with a sweeping teenage romance, which is fine thanks to the film's two young leads, but wastes a pretty spectacular setup."
fresh, It's a high-concept premise that's employed to consistently engaging effect by filmmaker Michael Sucsy...
rotten, Under the gloss it's like the failed pilot for some overproduced TV sitcom.
rotten," People who hold musicals as dear and inviolate as church doctrine will brook no criticism of this film, while more dispassionate eyes will see flaws stemming from story values sold out."
rotten," A dim-witted, dullard of a thriller about hacking and terrorism for profit that has one saving grace: timeliness...Being current only gets you so far when the script is techno-babble nonsense and the acting is as wooden as the Sequoia National Forest."
rotten, A disappointment for anyone hoping the studio would raise the standard of the animated feature to a new level.
fresh," This sequel in name only is a superior pic in almost every possible way, and deserves better than the half-hearted dump -- limited theatrical exposure day-and-date with VOD release -- it's been given by Lionsgate."
rotten," There's nothing wrong with style for its own sake, but The Losers works so strenuously to be cool at every moment that it can only be anything but."
rotten," The reality of ""Jason Bourne"" is one of obligation and monotony, as if it's not Bourne with a gun perpetually to his head, but the people writing him."
fresh," This film is just occasionally a bit too cool for school - but mostly just cool enough, which is very cool."
rotten," It ambles along uncertainly, hobbled by the lack of chemistry between its two lead actors, and by gags that either try too hard or suffer from being barely there."
fresh," For Ayer, there's no romance in warfare, only endless brutality, and Fury is deeply immersed in a visceral realm of blood, piss, and vomit."
fresh," A pleasant, if forgettable, romp of a film."
fresh," [VIDEO ESSAY] a seamless balancing act. Equal parts true-crime exposé, dysfunctional love story, and Depression-era think piece, the picture underscores American police departments' longstanding proclivity for short cuts to justice, i.e. murder."
rotten," The concept is lame, and the execution is lame, too. The more the film advances, the less we care about the plot - or anything that happens to anybody, really."
rotten, An uneasy cross between a Morrissey record and a middling X-Men sequel.
rotten," Cretton works well in tightly focused emotional hothouses; handed a decade-spanning commercial saga, he falls back on predictable storytelling beats and easy ironies."
fresh, Enigmatic and lovely.
fresh, The Fifth Estate takes heed of too many narrative masters and ends up serving none of them well.
fresh," Schlock it may be, and sticklers will complain about plot holes, but there's no denying the mood of dread conjured up here, nor the strength of the performances."
fresh, All the possible tropes of overcoming in sports... and Matteo Rovere handles them with the same dexterity as the race sequences... [Full review in Spanish]
fresh," An often exhilarating, lively, magical and breathtaking experience of Pina Bausch's art. "
fresh," ... with the combined star wattage of Egerton and Jackman, Eddie the Eagle is a fun little movie."
rotten, A slick but mindless throwback to the kind of Western that reminds you what revisionist Westerns revised.
rotten, Smurfs 2 seems aimed at the six or seven-year-old in your life.
rotten," Has a too-many-cooks feel throughout, and coheres only in the final minutes ..."
rotten," The movie needs más -- mucho más. As Durán, Edgar Ramírez accesses the playboy arrogance he channeled for Carlos, but he's stranded by a timid script that doesn't give him enough private moments. "
fresh," films that understand that when Shane rode away at the end, he was probably just looking for a place to die."
fresh, Captain Phillips revisited. How do you say 'I'm the captain now!' in Danish? 
fresh," The horror of the war's direct effect, the fury of the resistance that it provoked, the self-inflicted damage to American ideals, and its over-all impact as a lever for huge social, political, and psychological fractures are packed in."
rotten," We discover nothing we didn't know, and little new about Berger the Human from the four portraits presented in the film."
rotten," With characters who are often as intricate and three-dimensional as an origami figure but a script that remains hopelessly paper-thin, Paper Towns is a disappointment coming on the heels of last summer's lovely weepie, The Fault in Our Stars."
fresh, Kevin Costner is an engaging and complex character that shows different depths throughout the film. 
rotten," One way to get through Baby Geniuses is to think about whether it really is the worst movie you've ever seen. Probably not, but pretty darn close."
rotten," Rather than exhilaration, this bilious film offers only entrapment and despair. It's about as much fun as sitting in on an autopsy."
fresh, Liebesman relies on his genre-film resume to keep events moving at a brisk clip and the motion-capture process employed to facilitate live-action integration with cutting-edge VFX looks superior onscreen ...
rotten," On paper, this could have been the antidote to an increasingly codified strain of comic-book movies, but in the end, it's just another high-attitude version of the same."
fresh," The animation itself is startlingly beautiful, as is the ancient owl world it imagines. The battles are complex and, in true Snyder tradition, heavy on the action."
fresh, It's powerful stuff. The story of the uprising is well told and seems balanced. It's also an important film in terms of cinema as it illustrates a major shift in the way documentaries are made.
fresh, his film has plenty of hustle even though it sometimes lacks flow.
rotten," Offers a few inspired moments in a sea of mediocre gags, fumbled opportunities and that great foul among contemporary comedies--unnecessary grossness."
rotten," There's enough of a glimmer that future stories can do away with the gristle and get into the meat of the thing, but you've got to get through City of Bones first which might not be worth it unless you're already invested in the series."
rotten," Phenom Quvenzhané Wallis proves her Oscar nomination for Beasts of the Southern Wild was no fluke. As a modern-day Annie, Wallis shines with her sweet portrayal. However, her performance alone can't save the film from being a dim adaptation."
rotten," Ultimately, none of this comes together in any coherent way, truly leaving audiences with an experience that lives and dies based on the craft of bloodshed and gore"
fresh, The two leads have a pleasant chemistry that elevates each exchange and build out a meaningful-and meaningfully deep-relationship that's easy to engage with and root for.
fresh, One of those wonders of imagination and craft that confirm your wildest dreams about the magic of movies.
fresh," ""Creed II"" doesn't pack the same punch, either emotionally or in the ring, but as with seven ""Rocky"" movies before it, longtime fans will still be cheering by the end of this sequel."
fresh, ...a bona fide classic that has something to offer moviegoers of all ages.
fresh," Holland is properly unsparing about the casual sadism of the German military, but she resolutely sidesteps the sentimental oppressor-victim division that distorts so much pop-Holocaust narrative today."
fresh, The real protagonist is an abstract but essential character to the film: the road itself. [Full review in Spanish]
fresh," For the birds? Or something more. In other words, the mass helpless perception through those very senses. Counting deep state digital surveillance, and the powerlessness of all of us against these doomsday scenarios for real - protective blindfold or not."
rotten," Witherspoon could have made something of Vanity Fair if Nair had reinvented the novel the way the makers of Clueless reinvented Emma. Instead, she exploited it."
fresh, One of Kenner's main points is that the debate itself is being held on false grounds.
fresh," What would otherwise have been be a rather banal David-Goliath story ... is elevated by Cromwell into something more weighty, and even existentially profound."
fresh," Oppenheimer almost entirely dispenses with the intertextual parlour games of The Act of Killing, and instead seems more content to let his camera quietly capture the story."
fresh," This is good ridiculous fun, with a steady stream of wisecracks to accompany the fan-pleasing one-on-one match-ups."
fresh, I just thought it was a cool indie film with a great leading performance from an actor we don't usually get to see in a lead.
fresh, A film which reminds us that nuance and representation matters.
fresh," Stylish and gripping, The Ghost Writer features a master filmmaker at his very best and a story writhing in personal vendetta."
fresh," He pokes and prods the audience, tilts at them sideways, he and fellow writer Amy Jump going out of their way to make things as obtuse and as weird as possible yet somehow always maintain focus on character and narrative at the same time."
rotten," Not even [the stars'] innate magnetism, comic timing, and outrageous gorgeousness can make this 14-year-old screenplay seem fresh, nor can the execution be willed into excellence by the hypnotic blueness of their eyes. "
rotten," The script is so bland it could belong to one of those ABC Family Channel movies ""starring"" the third lead from a cancelled sitcom."
rotten," ... the dances are juiced up with all kinds of snazzy digital effects ... Were the dances digitally created as well? Maybe not, but the suspicion alone is fatal."
fresh," Like Oudolf, the filmmaker sees the plants first, always, without denying the people or the other built environments around them."
fresh," More than just one of the best movies so far this year, it is a revolution in young-adult entertainment."
fresh," Another carefree, gleefully ridiculous, and comically violent romp through superhero comics and pop culture."
rotten," [An] oversimplified, overheated mediocre melodrama."
fresh," Crucially, we stay at the side of the conflicted Nelly, and Jones proves as powerful in nuanced moments of quiet emotional availability as in Nelly's few, stirring allowances to speak truth to male privilege"
rotten, Even the best-trained dogs sometimes leave a mess.
rotten," Neither the performances nor an ever changing storyline, where newer characters are introduced, help pick it up. An anticlimactic, emotional ending further seals the fate of this film."
rotten," Apart from borrowing from Garden State and In Her Shoes, there's a sense of Big Chill Lite -- made by someone with a much lamer record collection."
rotten," Rebound is an earnest, if faltering, first step"
fresh," Yeah, it's a mess. But what a glorious mess it is."
rotten," The standard action sequences pile up, interspersed with Wolverine's mooning about in a funk because he's lost the will to live."
fresh," It's less personal, and basically consists of a sturdy mix of fight scenes and soap opera, but it wraps its bulging arms and soft heart around you in a comfortable, squeezing hug."
rotten, The whole film is like a depressing nightmare.
fresh, The material is OK -- not great. And Wahlberg's as flat as a Philly cheesesteak run over by US Steel truck ...
rotten, Filmmaker Perry kicks Her Smell off with a long and somewhat interminable sequence...
rotten," What's amazing about New Moon, and the whole Twilight series generally, is how easily it becomes self-parody. "
rotten," Although a surprise twist surfaces at the conclusion, this twisted tale of friendship and greed is fraudulent, proving that following what glitters may have unintended consequences..."
fresh," To be honest, I never really enjoyed movies with Jackie Chan, but this really won me over."
fresh, a tour de force of giddy-enthralling cinematic trashiness.
rotten," Blake and Nobody meander through a wilderness as shrubby and nondescript as a '50s B horror movie, all to the accompaniment of an echoey Neil Young guitar score that sounds like something Wayne Campbell made up in his basement. "
rotten," Coppola seems to be one of those directors who believe that if you get the actors into the right costumes, the story will tell itself."
rotten, Didn't anyone stand up at a production meeting to say that the script is idiotic? That the movie steals unashamedly from countless other sci-fi movies?
rotten, Very quickly grows repetitive and groan-inducing.
rotten, The dirty documentary style of Into the Storm only calls attention to how fake its characters and situations really are.
fresh," The film has a disarming naturalism and spontaneity. Waititi never pushes too hard. He knows the importance of restraint, understatement and surprise."
rotten, Predictable life-swap story has strong themes of gratitude. 
fresh," Bardem's Silva is a throwback to a more traditional Bond villain, with equal parts creepy sensuality, intelligence, and psychopathy, and a touch of physical deformity for good measure."
fresh," A Most Violent Year is very good, but it could have been devastating."
fresh, The imagery encourages viewers to adopt a global perspective in considering the subject matter. 
rotten," From Hollywood's school of pop psychology comes Don't Say a Word, a Freud for Dummy's journey into mind-cracking."
fresh, Sometimes the best condition of mind in which to view a new film is mild idiocy. I was fooled.
rotten," An adequate thriller - complete with scares, red herrings and a nonsensical twist-ending %u2013 which exploits its Antarctic surroundings for all their worth."
fresh," If, as he has suggested, ""Spectre"" is Daniel Craig's final outing as James Bond, then it is a very snappy send-off, indeed."
fresh, Bracket out the ethical concerns of making merry as the body count mysteriously rises and Keeping Mum is an endearing hoot.
fresh," There are also some enjoyable twists in the tale, even if not a single one of them is terribly surprising."
rotten," It's a movie of ideas, but there aren't nearly enough of them."
rotten," Like Red Eye, last month's air-scare flick, Flightplan rides a jet stream of post 9/11 worries."
rotten," Al is mesmerising, but he and Holly could have done so much more, had more been available."
fresh," Nichols' screenplay expertly peels away exposition and drops us in a story already in motion, with scenes set up to infer one situation only to reveal another via meticulously parceled out fragments of information."
fresh," ""The Family"" may not be top tier De Niro, but it is excellent Pfeiffer and a welcome return for director Luc Besson. "
fresh," Wyrmwood is the kind of film that gives me hope for the zombie subgenre- it's clever, hellaciously entertaining and masterfully executed by Roache-Turner, who shows us that you can still find new and exciting ways to fight zombies. "
rotten," Pop in 'The Fifth Element' again. It was, after all, Valerian before Valerian was Valerian."
fresh," So beautiful, heartbreaking and unassumingly masterful from beginning to end, The Florida Project is undoubtedly one of the best movies of 2017."
fresh, Star Trek: Nemesis stands alone as an engaging intergalactic thriller with a lot of spirit-and some rousing action scenes.
rotten, Noble old killbot! They have a star--I just wish they had more of a movie.
rotten," While humanity has spent two decades preparing for the second invasion, nothing could have prepared audiences for this wretched, passionless cash-grab of a sequel."
fresh, Easily the best Disney animated film since 2002's Lilo & Stitch... a return to core values for the studio.
fresh," How much you feel pulled into her dilemma relies in large part on how much you can take away from Rampling's silent, thoughtful gaze ... I started losing patience with it ... her silent visage is just required to bear too much dramatic weight."
fresh," A reminder that the architects of a massive tragedy remain present and unrepentant, the personification of the evil men do and a warning that it could happen again."
rotten," [If you must], come for the jokes, the song and dance numbers, and the female camaraderie. Stay for... well, for those things"
fresh, Cheadle convincingly layers his outrageousness with off-the-air pain and pathos.
fresh," A bold, electrifying thriller. Madeline Brewer gives a brave and ferocious performance."
rotten, A thriller that cannot be taken seriously. Incompetent on every level.
rotten, Howl is one of the most artless art films ever made.
rotten," It's time to stop, I'm afraid."
rotten," Flesh-eating fish notwithstanding, Peter and Michael Spierig's low-budget schlock-horror parody brings precious little new to the undead genre."
rotten, The live-action adaptation is just as forgettable and inconsequential as the anime was memorable and influential. 
rotten," Handsomely packaged, the film unfortunately is also too well-behaved and lacking in psychological depth to really set itself apart from countless other WWII dramas theatrically, even if pockets of older audiences might be responsive."
fresh, An angry and personal attack on America's war on drugs contends it is a grotesquely wasteful public-works scheme.
fresh," Story-wise, this picture doesn't break new ground; this is a tale that one can find littered throughout the pages of history both recent and long ago, but the way Corbijn has presented it gives it a freshness and fervor that makes it worth sampling."
fresh," Killing Them Softly is an artfully crafted, occasionally very funny satire dressed up in tough-guy leathers and packing a knuckle duster punch."
fresh," Hichki oscillates between a strong-willed teacher and some kids pushing against the wall...It's well-intentioned and will move you, but it could have been so much more."
rotten, Peyton Reed peca por jamais conseguir definir o tom que pretende empregar.
fresh," Cruel comic mishaps may be this movie's raison d'être, but they are softened at every turn by the gentle humanity of the city's inhabitants, and by the unspoken sense that everything will turn out fine in the end."
rotten, A terrible one-man-army action flick. The 2004 version is far more effective.
fresh," Great acting, great filmmaking, half-realised idea -- but nonetheless entertaining."
rotten," While ""Carpinteros"" is strong enough in atmosphere and assembly, it's limited by characters who aren't developed with great complexity, and a climax that pours on a little too much credulity-stretching hyperbole."
rotten, The only plus point is introducing newbies to the big-screen Star Wars experience -- if the 3D price is right for you.
fresh," Occasionally confusing but inherently appealing, Woody Allen once again explores the concept of alternate realities."
fresh," Tries to rebel but it's as insubordinate as a kid wearing a Megadeth T-shirt to Church on a Sunday, but an okay break from saving the world."
fresh," Holzhausen is respectful but not reverential, portraying the museum as a living thing that's being cared for with meticulous diligence."
rotten," As a truncated work, it stands as a road movie tone poem."
fresh," As you'd expect from the co-founder of Studio Ghibli, Takahata has created a ravishing, technically perfect product and the hand-drawn, watercolour images explode with tender, humorous details."
fresh, The exorcism of bourgeois complacency is delivered with force.
rotten," Bland... something of a thinker, even a subversive one, but it's dubious that kids will pick up on the provocation between the pratfalls and the pop songs."
fresh," I could not possibly care less about football, and I fell hopelessly in love with this movie, and with the can-do amateur team it introduces us to."
fresh," n Summer Hours, Olivier Assayas's gently provocative rumination on family and possessions, a trio of siblings wrestles with the problem of what to do with the old homestead once Mother is gone."
fresh, Historical drama set in the early days of the French revolution is intelligent Euro eye candy at its most lavish.
rotten," These former damsels are given agency to change their stories, but the result is a lukewarm fanfiction tale with different costumes. There is much to be desired underneath the pretty surface."
fresh," Pacino in low doses can be fulsome, and this is 10,000 cc's of super-concentrated Al ..."
rotten," Uncomfortable in its lack of sensitivity, the awkward story never reaches the heights of the film's visual elegance."
rotten, Let's just say it doesn't make me feel like Riverdancing.
rotten, Initial hints of a Mean Girls-meets-Lord of the Flies complication don't come to much in this straightforward pic...
fresh," With I, Daniel Blake, his latest film and one of his finest, Loach's talent for humour runs through the entire work."
fresh," Brings a sheer sense of wonder and imagination that calls to mind vintage Spielberg, an optimism that is warm and contagious and another great female lead for summer."
rotten," Eight Legged Freaks limps along, spinning not a silken web but an extremely derivative, tattered one not likely to snare anybody's interest."
fresh," A tribute to excess, but in a good way, sort of."
rotten," Comes off as serviceable at best and officially sanctioned fan wankery at worst. In trying to freshen up the ingredients for a new generation, it just clunks up the batter."
fresh, Spider-Man 2 takes comic book yarns to a new dimension of possibility with its sensitive exploration of emotions that help determine one's destiny.
fresh," Lloyd is so fresh, so filled with fun and rebellion, that she carries us past the tricky parts on the strength of personality alone. It's one of the great debut roles for a young actress."
fresh, Star Wars returns to be fun again on the big screen. [Full review in Spanish]
rotten, A harmless piece of uplifting family entertainment...inoffensive but trivial.
fresh," It is this unexpected bout with humanity that gives the film at least some sort of emotional grounding, such that the vastly more ridiculous stunts and set-pieces, while exceedingly ludicrous, don't weigh the film down entirely with their CGI silliness."
rotten," The film doesn't teem; it just seems cluttered - a collection of scenes, and occasionally great visuals or gags, strung together by an inadequate plot."
rotten," You know you're in trouble when the cleverest parts of your movie are the ironic T-shirts, worn unironically ... (but) a bonus is deserved by the person who dug up the Pablo Cruise shirt."
fresh, Sharp and flawlessly performed.
rotten," Two full hours with the self-absorbed, miserable characters in The Dinner may be too much to ask."
fresh," A grievous, blood-strewn, sumptuously lensed portrait of a human monster who believed he was above the lawand, for far too many years, kind of was."
rotten," ...a routine police thriller that is, for the most part, slow moving and uneventful."
fresh," Garrel's second feature film as a director is as delicate and delightful as a well-whipped meringue: light, fluffy, sweet and delectable."
rotten," Like a mall, has long stretches where you see nothing of interest and a generally stale air to it. Unlike a mall, you can't just browse and then move on to a better section."
rotten," ""Sex Tape"" doesn't seduce, it doesn't surprise and it certainly doesn't satisfy. It only leaves you feeling a little taken advantaged of, as you take your walk of shame back to your car - and hoping you never hear from it again."
rotten," Even at a running time of two hours and 18 minutes, it's all pretty thin stuff."
rotten," An aimless, awful embarrassment for everyone involved, Venom imagines a world where a dopey Peter Parker-type was instead bitten by a radioactive turd. "
rotten, Where to start with all the things wrong with this film?
rotten, Run a mile in any direction from Fast and Furious.
rotten, I found the story unbelievable and very dated.
rotten," Though Blair's vision expands the action, the stage play origins are obvious in the films structure, which allows for a show-stopping tune at regular intervals whether the drama needs it or not."
rotten, An absurd soft-core yuppie fantasy coyly tip-toeing around the idea of prostitution and its consequences.
rotten," Neophytes may be left in the dust for lack of narrative connections and clarifications, while Pullman admirers of all stripes may feel short-changed on mood and atmosphere."
fresh," A cracking little one-hander (mostly) that rations glimpses of its well-designed beastie expertly, the picture will please genre fans who don't mind long stretches with no dialogue."
fresh, It's entertaining and once the geezers actually get off the ground the visuals more than make up for the shortcomings.
rotten, The nice bits fail to cohere because The Meddler is finally just too eager to have everything come out right. Its tendency to uplift its characters finally feels as intrusive and naive as Marnie's own overbearing I-can-solve-everything nature.
rotten, A sensitive but surprisingly unmoving portrayal of the friendship (based on a true story) between a Los Angeles Times writer and a troubled street musician living on the streets of Skid Row. Jamie Foxx gives a standout performance.
fresh, Torremolinos 73 successfully moves past the grainy closeups to show us love and even innocence.
rotten," Rendition manages to take an urgent, important topic and turn it into standard Hollywood melodrama. What a waste."
rotten," Mary and the Witch's Flower isn't trying to be anything big and sprawling, and it shouldn't have to be. What's missing isn't a bigger picture, it's one that's more consistent."
rotten," As Star Wars movies go, The Clone Wars is minor to the point of irrelevance, nothing more than a stylized direct-to-DVD shrug projected onto a big screen while Lucas launches two more TV series filling in prequel blanks better left empty."
fresh," Partly campy, mostly straight-ahead horrific and nearly always watchable."
rotten," As with most recent animated features not affiliated with Pixar Studios, Madagascar oversells itself with superstar voices and set pieces bloated with noise and undernourished in wit."
rotten, Disturbing thriller about webcam porn has graphic violence. 
rotten," It's pleasant, and at times very funny, but the meandering episodes mean that despite the long running time, the satire never builds to a payoff."
rotten," Ryan Gosling reunites with Drive director Nicolas Winding Refn for the ultra-violent, ultra-slow-moving Bangkok-set revenge thriller Only God Forgives, whose unflinching gore and crawling pace will probably prove equally off-putting to most viewers."
fresh, This straightforward yet insightful documentary pays tribute to its subject without resorting to hagiography.
fresh," A Walk in the Woods never indulges in the darkness that such an excursion might warrant, but it captures a rare, hearty chemistry that only two veterans of this caliber could scrounge up."
rotten, The squalor alone isn't enough - this would be a more affecting story had if it showed us what was happening beneath the decaying exterior.
rotten," 'Paranormal Activity 4' is such dribble. It's trite and cliche to its own fault, a lazy and cheap replica of a 'Paranormal Activity' movie. "
rotten," As physically stimulating as Troy purports to be in content, the mental aspect of this film has all the charge of a defective catapult. "
rotten, The result sets itself adrift.
rotten," It's not funny. Neither is it sad, or moving, and without any of that, The Life Aquatic is not much of a movie."
fresh, A soulful cinematic sermon elevating a sinner to sainthood for the sake of an uncritical Amen choir still in denial about the truth of the Mike Brown case!
rotten, A disturbing film trying to diguise itself as a quirky romantic comedy. There are indeed some laugh-out-loud moments; unfortunately most of the laughs are aimed at -- not with -- the misfits.
rotten, Poderia ter sido muito bom caso soubesse que tipo de história gostaria de contar.
rotten," The strong chemistry between Brie and Sudeikis makes this feel more cohesive than it actually is, but without a consistent tone underlying the jokes, it's hard to know how to react."
fresh, War doc sets itself apart with skilled storytelling
fresh, Most movies aim to take us out of ourselves. This one goes to majestic extremes.
rotten," Sure, it looks great, and everything billows, including capes, trenchcoats and Lex's locks. But strong visuals alone aren't enough to make a graphic novel great, let alone a movie with a production budget north of $200 million."
rotten," Grand, empty gestures and loads of CGI effects can't cover up pure schlock. Even the character's iconically cool trademarks -- a flaming skull and a fiery chopper -- are reduced to Velveeta slices. No, damn you, sir."
rotten," The movie is so successful at being so far on the fringe, it often isolates."
rotten, Thuddingly awful.
fresh, Andy Nyman and Jeremy Dyson's nicely atmospheric chiller... evokes the great traditions of British horror.
fresh," It's a painstaking inspection of parenthood, which is fraught even in less formidable circumstances... But it's also a contemplation of what it means to be human and, ultimately, optimistic."
fresh, This is a fun midnight movie.
fresh, An enjoyable and visually dashing computer-generated exercise.
rotten," Telstar is an embarrassing farrago, an amateurish, incoherent pantomime of a piece, stuffed with interchangeable characters, a sketchy, largely unsympathetic leading role, and - betraying its stage play origins - unspeakably stilted dialogue."
rotten," Devoted fans of the series may find themselves comforted by the presence of old friends, but Vince and his troupe are very unlikely to make new ones."
fresh, A unfailingly intense look into what life -- and death -- is like for America's fighting men and women. 
fresh," Overwhelming emotions and feminist prowess are drawn from the visceral, agonizing, and often-cartoonish images that hold this sick n' ferocious film together. "
fresh, An animated sendup of comic-book epics that vanquishes solemnity with the power of supersilliness.
fresh," Here's something refreshing-a great-man biopic, simply titled Marshall, that's more concerned with the man in his earlier years than with the greatness to come."
fresh, An unsatisfying epilogue and unexplained climactic bout of insanity from Pearce's character let the whole thing down.
rotten, Kaos has studied the John Woo playbook carefully -- using slow motion and spectacular shootouts and explosions -- but lacks the remarkable cutting that is a key part of Woo's work.
fresh," Life Itself is proposed as an accomplished melodramatic exercise, powerful, honest, with some very lucid dialogues, about links and their derivatives."
fresh, A delicious pastry of a movie.
fresh," An impressive debut by Georgian film-maker Gela Babluani - this is a beautifully shot, intensely gripping thriller that starts slowly but builds to a terrifically tense climax. "
rotten," Nobody in their right mind could have wished for a sequel to the awful 2011 Australian comedy A Few Best Men. Nevertheless, it still comes as a shock to witness how wrong this moronically mucky follow-up gets it from start to finish."
fresh," Thoughtful, discursive and somewhat mesmeric, Patience (After Sebald) is an unusual piece of filmmaking, yet Gee's film functions well as a solid introductory primer to Sebald's books."
rotten," On the Ferrell scale, Land of the Lost ranks squarely below Anchorman and leagues above Semi-Pro, landing right in that murky middle-ground Talladega Nights territory. Let your tolerance level for the comedian be your guide. If"
fresh," This is essentially Evans's vehicle. His version of Dracula is action-oriented rather than horrifying and creepy. And keeping that in mind, he manages, in most parts, to get his teeth into the substance of Count Dracula's legend convincingly enough."
fresh," T2 doesn't quite tap the zeitgeist in the same way as the first film, but what it does do is find the heart in a bunch of characters who were once defined by not caring -- so hopped up on skag they would rip offer their own mams."
fresh, This is a very accomplished movie.
rotten," The worst thing to happen to movies in the past decade--a bold-faced negation of art, craft, emotion and importance."
fresh," Fantastic Beasts and Where to Find Them does exactly what it needs to do, introducing new characters and setting up ongoing plot threads. It's certainly more nimble and entertaining than the first couple of Potter movies."
rotten, On Her Shoulders is close to being awful.
fresh," ""You Were Never Really Here"" is a good film, maybe even a great one. But I can't honestly say that I liked it."
rotten," It's misguided. It's not funny. And in its lame efforts to be irreverent and hip, it turns out to be just plain mean."
fresh," Like some manic slasher on the loose, Nic Roeg cuts compulsively, severing the natural arteries between cause and effect to expose a more irrational kind of narrative continuum...a true classic, worth looking at not just now but long into the future."
rotten," Despite an evident appetite for mayhem, however, Bay is not the right guy to produce slasher movies. Horror requires intimacy."
